F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20
37	42	2	5	1	False	['PART', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'SPACE', 'PRON']	False	False	0	False	False	False	False	0	1	False	dobj	False	False
5	10	1	0	1	False	['ADV', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'SPACE', 'PRON']	False	False	0	False	False	False	False	0	1	False	dobj	False	False
7	18	1	2	2	False	['VERB', 'SPACE', 'PRON', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'PART']	False	False	0	False	False	False	False	0	0	False	nsubj	False	False
1	16	1	0	1	False	['ABS', 'ABS', 'ABS', 'ABS', 'SPACE', 'AUX', 'SPACE', 'PART']	False	False	1	False	False	False	False	0	9	False	nsubj	False	False
7	10	1	1	0	False	['AUX', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'PUNCT', 'ABS']	False	False	0	False	False	False	False	0	1	False	dobj	False	False
7	12	1	1	1	False	['AUX', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'SPACE', 'PROPN']	False	False	0	False	False	False	False	0	1	False	dobj	False	False
5	27	2	1	2	False	['PRON', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'PUNCT', 'SPACE']	False	False	0	False	False	False	False	0	1	False	dobj	False	False
5	27	2	1	2	False	['PRON', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'PUNCT', 'SPACE']	False	False	0	False	False	False	False	0	1	False	dobj	False	False
57	81	4	6	2	False	['PART', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'VERB']	False	False	0	False	False	False	False	0	16	False	nsubj	False	False
1	18	1	0	0	False	['ABS', 'ABS', 'ABS', 'ABS', 'SPACE', 'AUX', 'SPACE', 'ADV']	False	False	0	False	False	False	False	0	11	False	nsubj	False	False
1	9	1	0	0	False	['ABS', 'ABS', 'ABS', 'ABS', 'AUX', 'SPACE', 'ADV', 'SPACE']	False	False	0	False	False	False	False	0	0	False	nsubj	False	False
26	77	6	3	6	True	['ADJ', 'SPACE', 'NOUN', 'SPACE', 'SPACE', 'VERB', 'SPACE', 'PRON']	False	False	3	False	False	False	False	0	10	False	nsubj	False	False
26	77	6	3	6	True	['ADJ', 'SPACE', 'NOUN', 'SPACE', 'SPACE', 'VERB', 'SPACE', 'PRON']	False	False	3	False	False	False	False	0	10	False	nsubj	False	False
26	77	6	3	6	True	['ADJ', 'SPACE', 'NOUN', 'SPACE', 'SPACE', 'VERB', 'SPACE', 'PRON']	False	False	3	False	False	False	False	0	10	False	nsubj	False	False
7	24	2	1	1	False	['VERB', 'SPACE', 'SCONJ', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'VERB']	False	False	0	False	False	False	False	0	0	False	nsubj	False	False
25	32	2	4	1	False	['PROPN', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'SPACE', 'PRON']	False	False	0	False	False	False	False	0	1	False	dobj	False	False
5	40	1	1	6	False	['PRON', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'SPACE', 'VERB']	False	False	1	False	False	False	True	0	1	False	dobj	False	False
35	38	3	3	0	False	['PRON', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADV', 'PUNCT', 'ABS']	False	False	0	False	False	False	False	0	0	False	dobj	False	False
21	39	2	2	1	False	['ADP', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'PUNCT', 'SPACE']	False	False	0	False	False	False	False	0	1	False	dobj	False	False
12	23	2	1	1	False	['PUNCT', 'SPACE', 'CCONJ', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'VERB']	False	False	0	False	False	False	False	0	0	False	nsubj	False	False
7	28	3	1	0	False	['PRON', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'SPACE', 'ADV']	False	False	1	False	False	False	False	0	1	False	dobj	False	False
10	11	2	1	0	False	['PUNCT', 'SPACE', 'VERB', 'SPACE', 'PUNCT', 'ABS', 'ABS', 'ABS']	False	False	0	False	False	False	False	0	0	False	dobj	False	False
5	15	2	1	1	False	['PRON', 'SPACE', 'VERB', 'SPACE', 'PUNCT', 'SPACE', 'CCONJ', 'SPACE']	False	False	0	False	False	False	False	0	0	False	dobj	False	False
5	15	2	1	1	False	['PRON', 'SPACE', 'VERB', 'SPACE', 'PUNCT', 'SPACE', 'CCONJ', 'SPACE']	False	False	0	False	False	False	False	0	0	False	dobj	False	False
25	76	9	3	6	False	['PUNCT', 'SPACE', 'CCONJ', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'DET']	False	False	1	False	False	False	False	0	12	False	nsubj	False	False
25	76	9	3	6	False	['PUNCT', 'SPACE', 'CCONJ', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'DET']	False	False	1	False	False	False	False	0	12	False	nsubj	False	False
25	76	9	3	6	False	['PUNCT', 'SPACE', 'CCONJ', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'DET']	False	False	1	False	False	False	False	0	12	False	nsubj	False	False
22	31	2	3	1	False	['CCONJ', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'SPACE', 'PRON']	False	False	0	False	False	False	False	0	1	False	dobj	False	False
1	37	2	0	5	False	['ABS', 'ABS', 'ABS', 'ABS', 'SPACE', 'AUX', 'SPACE', 'DET']	False	False	2	False	False	False	True	0	9	False	nsubj	False	False
18	57	4	2	5	False	['ADP', 'SPACE', 'ADJ', 'SPACE', 'PUNCT', 'SPACE', 'CCONJ', 'SPACE']	False	False	2	False	False	False	True	0	23	False	dobj	False	False
5	67	4	1	8	False	['PRON', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADV', 'PUNCT', 'SPACE']	False	False	2	False	False	False	True	0	13	False	dobj	False	False
52	53	2	6	0	False	['VERB', 'SPACE', 'ADP', 'SPACE', 'PUNCT', 'ABS', 'ABS', 'ABS']	False	False	0	False	False	False	False	0	0	False	pobj	False	False
20	23	2	3	0	False	['CCONJ', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADV', 'PUNCT', 'ABS']	False	False	0	False	False	False	False	0	0	False	dobj	False	False
31	85	8	5	7	False	['PUNCT', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'SPACE', 'NOUN']	False	False	1	False	False	False	False	0	1	False	dobj	False	False
31	85	8	5	7	False	['PUNCT', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'SPACE', 'NOUN']	False	False	1	False	False	False	False	0	1	False	dobj	False	False
31	85	8	5	7	False	['PUNCT', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'SPACE', 'NOUN']	False	False	1	False	False	False	False	0	1	False	dobj	False	False
1	83	7	0	10	False	['ABS', 'ABS', 'ABS', 'ABS', 'SPACE', 'VERB', 'PUNCT', 'SPACE']	False	False	1	False	False	False	True	0	17	False	nsubj	False	False
1	83	7	0	10	False	['ABS', 'ABS', 'ABS', 'ABS', 'SPACE', 'VERB', 'PUNCT', 'SPACE']	False	False	1	False	False	False	True	0	17	False	nsubj	False	False
3	14	2	0	0	False	['ABS', 'ABS', 'CCONJ', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'AUX']	False	False	0	False	False	False	False	0	7	False	nsubjpass	False	False
16	35	3	2	1	False	['PUNCT', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADV', 'PUNCT', 'ADV']	False	False	0	False	False	False	False	0	0	False	dobj	False	False
31	36	3	4	0	False	['PUNCT', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'SPACE', 'ADV']	False	False	0	False	False	False	False	0	1	False	dobj	False	False
6	23	2	0	1	True	['PUNCT', 'SPACE', 'ADP', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'ADV']	False	False	0	False	False	False	False	0	13	False	nsubj	False	False
1	39	3	0	2	False	['ABS', 'ABS', 'ABS', 'ABS', 'SPACE', 'AUX', 'SPACE', 'VERB']	False	False	2	False	False	False	True	0	5	False	nsubj	False	False
1	49	3	0	4	False	['ABS', 'ABS', 'ABS', 'ABS', 'SPACE', 'AUX', 'SPACE', 'AUX']	False	False	2	False	False	False	True	0	34	False	nsubjpass	False	False
1	49	3	0	4	False	['ABS', 'ABS', 'ABS', 'ABS', 'SPACE', 'AUX', 'SPACE', 'AUX']	False	False	2	False	False	False	True	0	34	False	nsubjpass	False	False
5	16	1	1	2	False	['PRON', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'DET']	False	False	0	False	False	False	False	0	7	False	nsubj	False	False
9	12	2	1	0	False	['NOUN', 'PUNCT', 'CCONJ', 'SPACE', 'SPACE', 'VERB', 'PUNCT', 'ABS']	False	False	0	False	False	False	False	0	0	False	nsubj	False	False
22	52	3	4	4	False	['PRON', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADV', 'SPACE', 'ADP']	False	False	2	False	False	False	True	0	3	False	dobj	False	False
18	37	3	2	1	False	['VERB', 'SPACE', 'DET', 'SPACE', 'SPACE', 'CCONJ', 'SPACE', 'SCONJ']	False	False	0	False	False	False	False	0	5	False	dobj	False	False
1	19	2	0	1	False	['ABS', 'ABS', 'ABS', 'ABS', 'SPACE', 'AUX', 'SPACE', 'AUX']	False	False	0	False	False	False	False	0	0	False	nsubj	False	False
10	78	5	1	9	False	['VERB', 'SPACE', 'SCONJ', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'DET']	False	False	0	False	False	False	False	0	16	False	nsubj	False	False
10	78	5	1	9	False	['VERB', 'SPACE', 'SCONJ', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'DET']	False	False	0	False	False	False	False	0	16	False	nsubj	False	False
10	78	5	1	9	False	['VERB', 'SPACE', 'SCONJ', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'DET']	False	False	0	False	False	False	False	0	16	False	nsubj	False	False
10	78	5	1	9	False	['VERB', 'SPACE', 'SCONJ', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'DET']	False	False	0	False	False	False	False	0	16	False	nsubj	False	False
16	26	3	3	1	False	['CCONJ', 'SPACE', 'PRON', 'SPACE', 'SPACE', 'AUX', 'PUNCT', 'SPACE']	False	False	0	False	False	False	False	0	4	False	nsubj	False	False
17	20	1	2	0	False	['VERB', 'SPACE', 'ADP', 'SPACE', 'SPACE', 'ADV', 'PUNCT', 'ABS']	False	False	0	False	False	False	False	0	0	False	pobj	False	False
25	40	4	3	2	False	['AUX', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'SPACE', 'ADP']	False	False	1	False	False	False	True	0	1	False	dobj	False	False
5	29	2	1	2	False	['PRON', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADV', 'SPACE', 'ADP']	False	False	0	False	False	False	False	0	3	False	dobj	False	False
5	29	2	1	2	False	['PRON', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADV', 'SPACE', 'ADP']	False	False	0	False	False	False	False	0	3	False	dobj	False	False
5	34	4	1	3	False	['PRON', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'NOUN', 'SPACE', 'ADP']	False	False	0	False	False	False	False	0	3	False	dobj	False	False
5	34	4	1	3	False	['PRON', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'NOUN', 'SPACE', 'ADP']	False	False	0	False	False	False	False	0	3	False	dobj	False	False
15	16	1	1	0	False	['ADP', 'SPACE', 'ADP', 'SPACE', 'PUNCT', 'ABS', 'ABS', 'ABS']	False	False	0	False	False	False	False	0	0	False	pobj	False	False
4	13	3	1	0	False	['ABS', 'PRON', 'AUX', 'SPACE', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT']	False	False	0	False	False	False	False	0	0	False	attr	False	False
9	10	1	1	0	False	['ADV', 'SPACE', 'ADP', 'SPACE', 'PUNCT', 'ABS', 'ABS', 'ABS']	False	False	0	False	False	False	False	0	0	False	pobj	False	False
10	33	2	1	2	False	['PRON', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'PART']	False	False	1	False	False	False	True	0	5	False	nsubj	False	False
20	23	2	2	0	False	['CCONJ', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADV', 'PUNCT', 'ABS']	False	False	0	False	False	False	False	0	0	False	dobj	False	False
18	36	4	2	1	False	['PUNCT', 'SPACE', 'SCONJ', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'VERB']	False	False	0	False	False	False	False	0	0	False	nsubjpass	False	False
13	19	2	2	0	False	['AUX', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADV', 'PUNCT', 'SPACE']	False	False	0	False	False	False	False	0	0	False	dobj	False	False
7	10	1	1	0	False	['ADJ', 'SPACE', 'NOUN', 'SPACE', 'SPACE', 'AUX', 'PUNCT', 'ABS']	False	False	0	False	False	False	False	0	0	False	nsubj	False	False
1	14	1	0	1	False	['ABS', 'ABS', 'ABS', 'ABS', 'SPACE', 'AUX', 'SPACE', 'PROPN']	False	False	0	False	False	False	False	0	7	False	nsubj	False	False
27	38	3	2	1	False	['SPACE', 'ADV', 'PUNCT', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'PART']	False	False	1	False	False	False	True	0	5	False	nsubj	False	False
5	8	1	1	0	False	['PRON', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADV', 'PUNCT', 'ABS']	False	False	0	False	False	False	False	0	0	False	dobj	False	False
1	26	3	0	3	False	['ABS', 'ABS', 'ABS', 'ABS', 'SPACE', 'AUX', 'SPACE', 'PART']	False	False	0	False	False	False	False	0	21	False	nsubj	False	False
7	47	5	0	6	False	['SPACE', 'PROPN', 'PUNCT', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'VERB']	False	False	0	False	False	False	False	0	5	False	nsubjpass	False	False
7	47	5	0	6	False	['SPACE', 'PROPN', 'PUNCT', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'VERB']	False	False	0	False	False	False	False	0	5	False	nsubjpass	False	False
5	6	1	1	0	False	['PRON', 'SPACE', 'AUX', 'SPACE', 'PUNCT', 'ABS', 'ABS', 'ABS']	False	False	0	False	False	False	False	0	0	False	nsubj	False	False
5	12	1	1	1	False	['PRON', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'SPACE', 'PRON']	False	False	0	False	False	False	False	0	1	False	dobj	False	False
7	20	1	1	1	False	['PRON', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADV', 'SPACE', 'ADV']	False	False	0	False	False	False	False	0	5	False	dobj	False	False
39	57	5	4	2	False	['PART', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADV', 'PUNCT', 'SPACE']	False	False	0	False	False	False	False	0	4	False	dobj	False	False
11	50	3	1	5	False	['PART', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'PUNCT', 'SPACE']	False	False	0	False	False	False	False	0	1	False	dobj	False	False
11	50	3	1	5	False	['PART', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'PUNCT', 'SPACE']	False	False	0	False	False	False	False	0	1	False	dobj	False	False
11	50	3	1	5	False	['PART', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'PUNCT', 'SPACE']	False	False	0	False	False	False	False	0	1	False	dobj	False	False
20	23	2	2	0	False	['PUNCT', 'SPACE', 'AUX', 'SPACE', 'SPACE', 'PART', 'PUNCT', 'ABS']	False	False	0	False	False	False	False	0	0	False	nsubj	False	False
10	37	5	1	3	False	['PUNCT', 'SPACE', 'AUX', 'SPACE', 'SPACE', 'ADP', 'SPACE', 'DET']	False	False	0	False	False	False	False	0	1	False	nsubj	False	False
11	18	1	2	0	False	['PRON', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'SPACE', 'ADJ']	False	False	1	False	False	False	False	0	1	False	dobj	False	False
11	22	2	1	1	False	['PRON', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'SPACE', 'PUNCT']	False	False	0	False	False	False	False	0	1	False	dobj	False	False
47	59	5	6	2	False	['NOUN', 'SPACE', 'ADP', 'SPACE', 'PUNCT', 'SPACE', 'PROPN', 'PUNCT']	False	False	0	False	False	False	False	0	0	False	pobj	False	False
17	23	2	3	1	False	['NOUN', 'SPACE', 'ADP', 'SPACE', 'PUNCT', 'SPACE', 'VERB', 'SPACE']	False	False	0	False	False	False	False	0	0	False	pobj	False	False
3	13	2	0	1	False	['ABS', 'ABS', 'VERB', 'SPACE', 'SPACE', 'ADP', 'SPACE', 'DET']	False	False	0	False	False	False	False	0	1	False	dobj	False	False
8	11	2	1	0	False	['SPACE', 'NOUN', 'PUNCT', 'SPACE', 'SPACE', 'VERB', 'PUNCT', 'ABS']	False	False	0	False	False	False	False	0	0	False	nsubj	False	False
7	92	4	1	12	False	['ADV', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'SCONJ', 'SPACE', 'PRON']	False	False	0	False	False	False	False	0	11	False	dobj	False	False
7	92	4	1	12	False	['ADV', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'SCONJ', 'SPACE', 'PRON']	False	False	0	False	False	False	False	0	11	False	dobj	False	False
7	92	4	1	12	False	['ADV', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'SCONJ', 'SPACE', 'PRON']	False	False	0	False	False	False	False	0	11	False	dobj	False	False
7	92	4	1	12	False	['ADV', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'SCONJ', 'SPACE', 'PRON']	False	False	0	False	False	False	False	0	11	False	dobj	False	False
7	25	2	1	2	False	['PRON', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADV', 'SPACE', 'ADP']	False	False	0	False	False	False	False	0	3	False	dobj	False	False
7	25	2	1	2	False	['PRON', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADV', 'SPACE', 'ADP']	False	False	0	False	False	False	False	0	3	False	dobj	False	False
18	23	2	3	1	False	['PUNCT', 'SPACE', 'CCONJ', 'SPACE', 'SPACE', 'VERB', 'SPACE', 'PRON']	False	False	0	False	False	False	False	0	0	False	nsubj	False	False
7	12	3	0	0	False	['SPACE', 'NOUN', 'PUNCT', 'SPACE', 'SPACE', 'ADV', 'SPACE', 'AUX']	False	False	0	False	False	False	False	0	0	False	nsubj	False	False
1	10	1	0	0	False	['ABS', 'ABS', 'ABS', 'ABS', 'SPACE', 'AUX', 'SPACE', 'ADV']	False	False	0	False	False	False	False	0	0	False	nsubjpass	False	False
14	40	3	1	2	False	['SPACE', 'NOUN', 'PUNCT', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'VERB']	False	False	0	False	False	False	False	0	0	False	nsubjpass	False	False
14	40	3	1	2	False	['SPACE', 'NOUN', 'PUNCT', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'VERB']	False	False	0	False	False	False	False	0	0	False	nsubjpass	False	False
9	14	1	1	1	False	['AUX', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'SPACE', 'NOUN']	False	False	0	False	False	False	False	0	1	False	dobj	False	False
17	40	4	1	3	False	['AUX', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADV', 'SPACE', 'ADP']	False	False	1	False	False	False	True	0	3	False	dobj	False	False
18	23	2	2	0	False	['ADV', 'SPACE', 'AUX', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'AUX']	False	False	0	False	False	False	False	0	0	False	nsubj	False	False
1	17	2	0	2	False	['ABS', 'ABS', 'ABS', 'ABS', 'SPACE', 'AUX', 'SPACE', 'AUX']	False	False	0	False	False	False	False	0	0	False	nsubj	False	False
1	27	2	0	4	False	['ABS', 'ABS', 'ABS', 'ABS', 'SPACE', 'AUX', 'SPACE', 'PART']	False	False	0	False	False	False	False	0	20	False	nsubj	False	False
1	27	2	0	4	False	['ABS', 'ABS', 'ABS', 'ABS', 'SPACE', 'AUX', 'SPACE', 'PART']	False	False	0	False	False	False	False	0	20	False	nsubj	False	False
1	10	1	0	0	False	['ABS', 'ABS', 'ABS', 'ABS', 'SPACE', 'AUX', 'SPACE', 'PART']	False	False	1	False	False	False	False	0	0	False	nsubj	False	False
24	31	2	3	1	False	['CCONJ', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADV', 'SPACE', 'ADP']	False	False	0	False	False	False	False	0	3	False	dobj	False	False
1	12	1	0	1	False	['ABS', 'ABS', 'ABS', 'ABS', 'SPACE', 'AUX', 'SPACE', 'ADV']	False	False	1	False	False	False	True	0	0	False	nsubj	False	False
26	34	3	2	0	False	['VERB', 'SPACE', 'ADP', 'SPACE', 'PUNCT', 'SPACE', 'ADV', 'SPACE']	False	False	1	False	False	False	False	0	4	False	pobj	False	False
13	14	1	2	0	False	['NOUN', 'SPACE', 'ADP', 'SPACE', 'PUNCT', 'ABS', 'ABS', 'ABS']	False	False	0	False	False	False	False	0	0	False	pobj	False	False
4	13	3	0	1	False	['ABS', 'INTJ', 'PUNCT', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'PUNCT']	False	False	0	False	False	False	False	0	0	False	nsubj	False	False
7	10	1	1	0	False	['PRON', 'SPACE', 'AUX', 'SPACE', 'SPACE', 'VERB', 'PUNCT', 'ABS']	False	False	0	False	False	False	False	0	0	False	nsubj	False	False
10	15	2	1	0	False	['VERB', 'PUNCT', 'CCONJ', 'SPACE', 'SPACE', 'AUX', 'SPACE', 'NOUN']	False	False	0	False	False	False	False	0	0	False	nsubj	False	False
3	8	1	0	1	False	['ABS', 'ABS', 'AUX', 'SPACE', 'SPACE', 'DET', 'SPACE', 'NOUN']	False	False	0	False	False	False	False	0	0	False	nsubj	False	False
9	14	1	2	0	False	['PRON', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADV', 'SPACE', 'ADV']	False	False	0	False	False	False	False	0	0	False	dobj	False	False
35	40	3	4	1	False	['PART', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'SPACE', 'PRON']	False	False	0	False	False	False	False	0	1	False	dobj	False	False
7	16	1	1	1	False	['ADV', 'SPACE', 'VERB', 'SPACE', 'SPACE', 'ADP', 'SPACE', 'DET']	False	False	0	False	False	False	False	0	1	False	dobj	False	False
12	18	1	1	0	False	['VERB', 'SPACE', 'SCONJ', 'SPACE', 'AUX', 'SPACE', 'PRON', 'SPACE']	False	False	0	False	False	False	False	0	0	False	nsubj	False	False
15	16	1	2	0	False	['AUX', 'SPACE', 'VERB', 'SPACE', 'PUNCT', 'ABS', 'ABS', 'ABS']	False	False	0	False	False	False	False	0	0	False	dobj	False	False
11	33	2	1	3	False	['AUX', 'SPACE', 'VERB', 'SPACE', 'PUNCT', 'SPACE', 'PRON', 'SPACE']	False	False	1	False	False	False	True	0	18	False	dobj	False	False
